geneId,label,H100,H080,H050,H030,H020,H010,H007,H005,H003,H000_adapt,H005_adapt,H010_adapt,H020_adapt,H030_adapt,H040_adapt,H050_adapt,H060_adapt,H070_adapt,H080_adapt,H090_adapt,H095_adapt
WBGene00012030,1,53.0,57.0,64.0,66.0,66.0,68.0,70.0,71.0,73.0,73.0,71.0,69.0,67.0,59.0,26.0,8.0,3.0,2.0,2.0,2.0,1.0
WBGene00003123,1,1.0,18.0,50.0,52.0,53.0,54.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0,53.0,51.0,48.0,44.0,24.0,1.0,1.0,0.0
WBGene00011883,1,2.0,2.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,15.0,14.0,10.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00021270,1,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00020558,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
WBGene00000833,1,78.0,78.0,80.0,90.0,479.0,500.0,500.0,500.0,500.0,829.0,828.0,811.0,681.0,79.0,76.0,45.0,10.0,2.0,1.0,1.0,1.0
WBGene00012888,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
WBGene00004271,1,23.0,60.0,96.0,500.0,500.0,501.0,501.0,501.0,501.0,2819.0,2811.0,2747.0,2332.0,872.0,101.0,74.0,54.0,15.0,1.0,1.0,0.0
WBGene00013709,1,139.0,197.0,278.0,401.0,501.0,501.0,501.0,501.0,501.0,5001.0,4846.0,3141.0,519.0,211.0,103.0,29.0,28.0,3.0,2.0,2.0,2.0
WBGene00020604,1,1.0,1.0,1.0,8.0,24.0,54.0,58.0,60.0,60.0,61.0,60.0,59.0,28.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00004305,1,0.0,1.0,3.0,11.0,25.0,56.0,58.0,63.0,80.0,94.0,93.0,74.0,60.0,53.0,30.0,2.0,2.0,1.0,1.0,1.0,0.0
WBGene00001746,1,107.0,119.0,198.0,500.0,500.0,500.0,500.0,500.0,501.0,5001.0,4998.0,4777.0,2165.0,302.0,108.0,74.0,15.0,1.0,1.0,1.0,1.0
WBGene00006382,1,9.0,10.0,16.0,38.0,44.0,48.0,75.0,161.0,363.0,422.0,104.0,22.0,9.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00012553,1,1.0,1.0,1.0,16.0,16.0,33.0,39.0,39.0,40.0,41.0,40.0,40.0,38.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
WBGene00013144,1,2.0,12.0,50.0,52.0,53.0,62.0,67.0,76.0,81.0,84.0,83.0,83.0,60.0,51.0,36.0,5.0,2.0,2.0,2.0,1.0,1.0
WBGene00006391,1,2.0,2.0,2.0,4.0,4.0,28.0,31.0,33.0,41.0,42.0,41.0,41.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00001832,1,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00001814,1,106.0,487.0,595.0,596.5,597.5,597.5,597.5,597.5,597.5,5001.0,5000.0,4998.0,3753.5,250.0,13.0,4.0,2.0,2.0,2.0,1.5,1.0
WBGene00021095,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0
WBGene00004888,1,0.0,0.0,1.0,6.0,42.0,83.0,86.0,99.0,100.0,113.0,112.0,105.0,98.0,83.0,47.0,6.0,3.0,1.0,1.0,0.0,0.0
WBGene00003225,1,0.5,0.5,2.0,3.0,7.0,26.0,35.0,43.0,52.0,59.0,58.0,57.0,46.0,6.0,2.5,1.0,1.0,0.5,0.5,0.0,0.0
WBGene00013128,1,17.0,23.0,35.0,48.0,53.0,54.0,55.0,58.0,62.0,63.0,62.0,52.0,48.0,27.0,21.0,5.0,2.0,2.0,2.0,1.0,1.0
WBGene00012187,1,0.0,0.0,1.0,13.0,35.0,71.0,88.0,92.0,96.0,100.0,99.0,97.0,94.0,41.0,23.0,8.0,8.0,1.0,1.0,1.0,0.0
WBGene00001979,1,2.0,19.0,22.0,23.0,25.0,28.0,32.0,38.0,45.0,49.0,48.0,29.0,22.5,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00006964,1,48.0,68.0,88.0,114.0,130.0,157.0,161.0,165.0,166.0,127.0,125.0,105.0,66.0,35.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0
WBGene00000496,1,15.0,15.0,17.0,19.0,23.0,118.0,158.0,210.0,269.0,279.0,155.0,27.0,15.0,9.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0
WBGene00013236,1,0.0,1.0,1.0,3.0,10.0,44.0,51.0,52.0,54.0,56.0,55.0,55.0,54.0,33.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00019005,1,2.0,2.0,4.0,7.0,27.0,47.0,50.0,51.0,53.0,54.0,53.0,52.0,24.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00019693,1,2.0,2.0,2.0,15.0,17.0,29.0,30.0,32.0,34.0,36.0,35.0,33.0,23.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00003134,1,5.0,21.0,34.0,54.0,55.0,100.0,106.0,131.0,237.0,305.0,229.0,92.0,40.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
WBGene00001235,1,0.0,0.0,1.0,1.0,2.0,14.0,14.0,14.0,15.0,16.0,15.0,15.0,15.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00006940,1,2.0,2.0,12.0,50.0,292.0,501.0,501.0,501.0,501.0,5001.0,4933.0,3446.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00021292,1,47.0,49.0,51.0,54.0,56.0,61.0,73.0,101.0,158.0,174.0,155.0,90.0,51.0,47.0,42.0,13.0,8.0,1.0,1.0,0.0,0.0
WBGene00020441,1,2.0,2.0,3.0,13.0,17.0,34.0,38.0,39.0,43.0,45.0,44.0,44.0,38.0,13.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00001259,1,17.0,24.0,33.0,37.0,42.0,376.0,491.0,505.0,505.0,523.0,497.0,151.0,31.0,7.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00000405,1,107.0,187.0,500.0,500.0,500.0,500.0,500.0,500.0,501.0,5001.0,4991.0,4731.0,2167.0,576.0,160.0,71.0,17.0,1.0,0.0,0.0,0.0
WBGene00004432,1,2.0,3.0,51.0,67.0,70.0,71.0,74.0,74.0,75.0,76.0,75.0,74.0,70.0,65.0,52.0,19.0,6.0,2.0,0.0,0.0,0.0
WBGene00012550,1,1.0,1.0,2.0,10.0,12.0,15.0,19.0,24.0,29.0,30.0,29.0,29.0,23.0,12.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
WBGene00011412,1,3.0,3.0,3.0,14.0,17.0,17.0,19.0,39.0,119.0,242.0,241.0,241.0,20.0,11.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
WBGene00004456,1,0.0,0.0,0.0,55.0,69.0,89.0,94.0,96.0,96.0,98.0,97.0,97.0,97.0,92.0,67.0,56.0,52.0,15.0,1.0,0.0,0.0
WBGene00020910,1,8.0,30.0,77.0,88.0,97.0,115.0,119.0,123.0,124.0,126.0,124.0,123.0,104.0,76.0,21.0,4.0,3.0,3.0,2.0,1.0,1.0
WBGene00004188,1,13.0,19.0,35.0,46.0,51.0,69.0,81.0,89.0,105.0,100.0,76.0,57.0,39.0,18.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00011734,1,1.0,1.0,7.0,57.0,130.0,260.0,359.0,421.0,502.0,590.0,589.0,560.0,471.0,158.0,44.0,8.0,3.0,3.0,1.0,1.0,1.0
WBGene00020600,1,8.0,9.0,13.0,28.0,41.0,58.0,108.0,255.0,536.0,552.0,461.0,171.0,46.0,13.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0
WBGene00004806,1,18.0,35.0,42.0,45.0,46.0,47.0,47.0,47.0,47.0,48.0,46.0,46.0,45.0,38.0,20.0,11.0,2.0,1.0,1.0,1.0,0.0
WBGene00011885,1,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
